Id,Label,X,Y
0,0,0.598108,0.601646
1,1,0.545459,0.753156
2,2,0.714044,0.435432
3,3,0.638664,0.371411
4,4,0.704763,0.326741
5,5,0.464266,0.974016
6,6,0.741535,0.234749
7,7,0.079733,0.403827
8,8,0.495108,0.779991
9,9,0.510558,0.898042
10,10,0.321528,0.374479
11,11,0.150624,0.106033
12,12,0.211103,0.195954
13,13,0.128813,0.341955
14,14,0.456944,0.488454
15,15,0.012195,0.163887
16,16,0.074334,0.223271
17,17,0.187518,0.260872
18,18,0.145491,0
19,19,0.656563,0.45135
20,20,0,0.227291
21,21,0.10342,0.024508
22,22,0.511931,1
23,23,0.736773,0.718906
24,24,0.820307,0.832378
25,25,0.872617,0.928715
26,26,0.844891,0.767406
27,27,0.897155,0.853858
28,28,0.937372,0.940651
29,29,0.927281,0.783436
30,30,0.968013,0.859454
31,31,1,0.939673
